episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
240,-0.111563,0.657333,39.1845,-0.077739,0,0.6765,0.29292
241,-0.130329,0.669805,44.4323,-0.091778,0,0.6875,0.29289
242,-0.121761,0.658829,24.6679,-0.076272,0,0.5909,0.29286
243,-0.120760,0.669208,110.1239,-0.175720,0,0.3158,0.29283
244,-0.122984,0.651638,40.9534,-0.100060,0,0.5769,0.29280
245,-0.105848,0.645701,55.0802,-0.128191,0,0.4444,0.29277
246,-0.124860,0.657516,35.7846,-0.087932,1,0.4444,0.29274
247,-0.122609,0.656715,87.7123,-0.118457,0,0.2766,0.29271
248,-0.130590,0.675573,70.7401,-0.131727,0,0.5143,0.29268
249,-0.133734,0.671391,95.6166,-0.166968,0,0.3714,0.29265
250,-0.118644,0.676119,88.5097,-0.131998,0,0.4286,0.29262
251,-0.127878,0.670631,46.2453,-0.089865,0,0.5588,0.29260
252,-0.117995,0.645425,40.8974,-0.137306,0,0.4444,0.29257
253,-0.121655,0.666041,43.9928,-0.075562,0,0.3243,0.29254
254,-0.128472,0.674189,42.8623,-0.076762,0,0.6053,0.29251
255,-0.110224,0.641183,44.0154,-0.101827,0,0.6071,0.29248
256,-0.124653,0.672028,34.6971,-0.073401,1,0.6562,0.29245
257,-0.118552,0.638900,64.0504,-0.108714,0,0.3684,0.29242
258,-0.131566,0.678669,57.3333,-0.103191,0,0.5278,0.29239
259,-0.116047,0.649106,39.8629,-0.079489,0,0.4848,0.29236
260,-0.117902,0.629002,54.2066,-0.091871,0,0.2821,0.29233
261,-0.123532,0.653840,45.4867,-0.119560,0,0.6667,0.29230
262,-0.130449,0.660635,49.4312,-0.089035,0,0.4737,0.29227
263,-0.125032,0.676503,113.6777,-0.159813,0,0.2045,0.29224
264,-0.126410,0.648395,102.6370,-0.129251,0,0.2549,0.29221
265,-0.122590,0.671778,82.1120,-0.116590,0,0.4565,0.29218
266,-0.125432,0.670455,30.9955,-0.081805,0,0.5600,0.29215
267,-0.128536,0.667365,58.7425,-0.126012,0,0.3448,0.29212
268,-0.136614,0.680479,29.6964,-0.082590,0,0.3913,0.29209
269,-0.120489,0.660181,74.9872,-0.116970,0,0.4878,0.29206
270,-0.109959,0.654546,42.1179,-0.136046,1,0.5263,0.29203
271,-0.112650,0.647181,44.7804,-0.107982,0,0.5385,0.29201
272,-0.123608,0.667348,31.8274,-0.091907,0,0.3636,0.29198
273,-0.132661,0.686034,57.5098,-0.102383,0,0.6389,0.29195
274,-0.117331,0.656072,40.6475,-0.110820,0,0.4783,0.29192
275,-0.128312,0.652510,40.3984,-0.096801,0,0.6667,0.29189
276,-0.127294,0.637721,67.9670,-0.135387,1,0.4516,0.29186
277,-0.134825,0.684407,75.8862,-0.171762,0,0.4615,0.29183
278,-0.111609,0.639716,56.7402,-0.113814,1,0.5000,0.29180
279,-0.124337,0.674355,43.7217,-0.147021,0,0.5000,0.29177
280,-0.127518,0.665397,88.6665,-0.127609,0,0.2955,0.29174
281,-0.133888,0.683654,78.5839,-0.163500,0,0.2759,0.29171
282,-0.135827,0.681330,60.4909,-0.107556,0,0.3514,0.29168
283,-0.123499,0.662473,52.0518,-0.141025,0,0.5217,0.29165
