episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
176,-0.126710,0.696670,71.7064,-0.000794,0,0.2759,0.29481
177,-0.085472,0.671612,42.2144,-0.000468,0,0.6667,0.29478
178,-0.120614,0.681609,32.3457,-0.000320,0,0.7742,0.29475
179,-0.120517,0.669400,57.5264,-0.000622,0,0.3333,0.29472
180,-0.107670,0.668378,45.1029,-0.000298,0,0.4889,0.29469
181,-0.107940,0.660552,44.2880,-0.000571,1,0.4286,0.29466
182,-0.112855,0.695864,32.9703,-0.000430,0,0.5417,0.29463
183,-0.103741,0.660488,44.6157,-0.000622,1,0.6364,0.29460
184,-0.103743,0.663575,104.1416,-0.000610,0,0.4400,0.29457
185,-0.111453,0.670639,40.6759,-0.000327,0,0.4545,0.29454
186,-0.104461,0.647138,79.8021,-0.000547,0,0.2500,0.29451
187,-0.093143,0.668237,28.0943,-0.000325,0,0.7857,0.29448
188,-0.104788,0.647798,106.5275,-0.000867,0,0.3077,0.29445
189,-0.106008,0.684324,64.1762,-0.000549,0,0.3939,0.29442
190,-0.088140,0.655456,71.0335,-0.000692,1,0.4848,0.29439
191,-0.130502,0.681752,78.2035,-0.000564,0,0.2432,0.29437
192,-0.093705,0.673218,55.7184,-0.000477,0,0.6000,0.29434
193,-0.119843,0.686481,52.7340,-0.000595,0,0.6000,0.29431
194,-0.105555,0.672689,82.4673,-0.000737,0,0.4138,0.29428
195,-0.076492,0.658324,49.1880,-0.000396,0,0.6452,0.29425
196,-0.092198,0.647930,31.8800,-0.000605,1,0.5714,0.29422
197,-0.112388,0.676788,106.1529,-0.000543,0,0.2545,0.29419
198,-0.104511,0.679132,76.2004,-0.000643,0,0.3636,0.29416
199,-0.114101,0.694638,59.8506,-0.000560,1,0.3529,0.29413
200,-0.095601,0.670474,89.4437,-0.000623,0,0.3415,0.29410
201,-0.115927,0.675289,60.7426,-0.000402,1,0.2703,0.29407
202,-0.123889,0.690397,64.4623,-0.000469,0,0.5128,0.29404
203,-0.118751,0.642643,64.8869,-0.000773,0,0.2727,0.29401
204,-0.136826,0.689670,93.8060,-0.000733,0,0.1892,0.29398
205,-0.119961,0.677229,76.6122,-0.000771,0,0.5714,0.29395
206,-0.118496,0.650171,99.6503,-0.000988,0,0.3548,0.29392
207,-0.140354,0.673022,31.4555,-0.000301,0,0.6970,0.29389
208,-0.125769,0.663679,84.1400,-0.000524,0,0.4651,0.29386
209,-0.126365,0.676156,78.8889,-0.000742,0,0.4138,0.29383
210,-0.119931,0.659807,42.6551,-0.000433,1,0.2917,0.29380
211,-0.123417,0.681607,82.6667,-0.000576,0,0.2500,0.29378
212,-0.120874,0.672409,31.8965,-0.000349,0,0.5333,0.29375
213,-0.127875,0.657075,73.4428,-0.000652,0,0.4848,0.29372
214,-0.111389,0.648396,76.0812,-0.000493,0,0.5000,0.29369
215,-0.125304,0.688755,73.3752,-0.000660,1,0.3548,0.29366
216,-0.115345,0.648651,40.2767,-0.000538,1,0.4444,0.29363
217,-0.137120,0.682212,62.5756,-0.000497,1,0.4444,0.29360
218,-0.131759,0.687281,85.1003,-0.000735,0,0.2286,0.29357
219,-0.144269,0.701999,30.9059,-0.000451,0,0.6111,0.29354
220,-0.106697,0.676322,70.5995,-0.000518,0,0.3784,0.29351
221,-0.139008,0.686890,62.8543,-0.000684,0,0.3571,0.29348
222,-0.117473,0.663054,64.2503,-0.000477,0,0.5476,0.29345
223,-0.126630,0.688821,88.1303,-0.000498,0,0.2955,0.29342
224,-0.138312,0.690173,92.9477,-0.000917,0,0.4138,0.29339
225,-0.118312,0.676935,45.9192,-0.000588,0,0.6250,0.29336
226,-0.136905,0.686121,22.6989,-0.000313,0,0.6316,0.29333
227,-0.129288,0.666258,71.8298,-0.000594,0,0.4167,0.29330
228,-0.147134,0.686730,21.1771,-0.000218,0,0.6667,0.29327
229,-0.123980,0.706219,27.9374,-0.000457,0,0.4444,0.29324
230,-0.136451,0.683613,42.7186,-0.000540,1,0.5217,0.29322
231,-0.124350,0.673019,80.5975,-0.000676,0,0.4062,0.29319
232,-0.144962,0.685128,41.2954,-0.000499,0,0.6667,0.29316
233,-0.141559,0.702586,70.2374,-0.000646,1,0.2500,0.29313
234,-0.135044,0.664012,49.5791,-0.000620,0,0.5217,0.29310
235,-0.129884,0.671368,85.1229,-0.000705,0,0.2647,0.29307
236,-0.118750,0.676343,83.3675,-0.000659,0,0.5278,0.29304
237,-0.156868,0.705751,54.6960,-0.000614,0,0.2800,0.29301
238,-0.131398,0.673160,48.8354,-0.000447,0,0.5714,0.29298
239,-0.133587,0.716200,51.8295,-0.000574,0,0.4444,0.29295
240,-0.142658,0.692706,56.7007,-0.000497,1,0.3438,0.29292
241,-0.125722,0.666749,40.9546,-0.000331,0,0.6786,0.29289
242,-0.123976,0.648937,27.3282,-0.000329,1,0.4762,0.29286
243,-0.124699,0.670175,103.1339,-0.000614,0,0.4146,0.29283
244,-0.120387,0.659728,37.8235,-0.000321,1,0.8000,0.29280
245,-0.125315,0.670040,54.0130,-0.000427,0,0.5429,0.29277
246,-0.123350,0.640325,40.7927,-0.000400,1,0.4400,0.29274
247,-0.125866,0.673328,97.7478,-0.000602,0,0.2857,0.29271
248,-0.131810,0.665167,77.2352,-0.000739,1,0.4118,0.29268
249,-0.126901,0.651945,71.4577,-0.000531,0,0.6098,0.29265
250,-0.119976,0.665409,78.5287,-0.000452,0,0.5000,0.29262
251,-0.111665,0.634815,49.6477,-0.000623,0,0.4545,0.29260
252,-0.123776,0.682697,38.8996,-0.000475,0,0.5000,0.29257
253,-0.149013,0.717860,37.6963,-0.000290,0,0.5278,0.29254
254,-0.137880,0.694089,42.0238,-0.000417,0,0.6154,0.29251
255,-0.137592,0.685282,45.5579,-0.000305,0,0.5897,0.29248
256,-0.124108,0.653125,37.9650,-0.000372,0,0.5862,0.29245
257,-0.135077,0.654715,80.3383,-0.001009,0,0.4074,0.29242
258,-0.129799,0.676481,61.8845,-0.000490,0,0.4516,0.29239
259,-0.112427,0.659816,46.9050,-0.000428,1,0.3571,0.29236
260,-0.108547,0.643800,45.5615,-0.000320,0,0.3889,0.29233
261,-0.119485,0.676521,57.4319,-0.000440,1,0.3429,0.29230
262,-0.106760,0.627309,46.9731,-0.000463,0,0.6429,0.29227
263,-0.122467,0.653946,93.0360,-0.000644,0,0.4545,0.29224
264,-0.126090,0.662057,88.2223,-0.000430,0,0.4754,0.29221
265,-0.129549,0.676650,72.7810,-0.000618,0,0.4474,0.29218
266,-0.117570,0.650187,29.6636,-0.000287,0,0.7778,0.29215
267,-0.125248,0.672655,81.9190,-0.000671,1,0.1875,0.29212
268,-0.139028,0.665058,19.5964,-0.000180,0,0.8966,0.29209
269,-0.127829,0.664451,84.1293,-0.000545,0,0.5217,0.29206
270,-0.114099,0.636135,36.5449,-0.000355,0,0.5161,0.29203
271,-0.120294,0.647383,41.5867,-0.000452,0,0.4138,0.29201
272,-0.121561,0.656182,23.2979,-0.000285,1,0.6000,0.29198
273,-0.133125,0.666349,65.4260,-0.000591,0,0.6071,0.29195
274,-0.126640,0.672107,37.5268,-0.000442,0,0.4286,0.29192
275,-0.123163,0.657545,35.7171,-0.000411,0,0.8000,0.29189
276,-0.108053,0.633589,61.7555,-0.000523,1,0.4688,0.29186
277,-0.127594,0.664291,61.6789,-0.000489,0,0.5278,0.29183
278,-0.088884,0.611879,70.7980,-0.000688,0,0.2667,0.29180
279,-0.114189,0.627793,49.7008,-0.000479,0,0.4000,0.29177
280,-0.140186,0.661628,87.9650,-0.000573,0,0.4211,0.29174
281,-0.124812,0.671590,65.6640,-0.000607,0,0.3448,0.29171
282,-0.119276,0.666939,54.7992,-0.000443,0,0.3714,0.29168
283,-0.119363,0.643688,68.2405,-0.000814,1,0.2963,0.29165
284,-0.124683,0.658115,57.2081,-0.000674,0,0.5000,0.29162
285,-0.130704,0.681788,31.8301,-0.000419,0,0.5000,0.29159
286,-0.096926,0.622362,60.7246,-0.000584,1,0.3448,0.29156
287,-0.126617,0.653427,58.5544,-0.000408,0,0.5263,0.29153
288,-0.113682,0.655866,106.3612,-0.000896,0,0.2647,0.29150
289,-0.130972,0.685242,46.7698,-0.000608,0,0.3333,0.29147
290,-0.127242,0.673675,36.2810,-0.000382,0,0.5385,0.29145
291,-0.105869,0.637716,48.1282,-0.000364,0,0.6970,0.29142
292,-0.118641,0.655800,64.9089,-0.000613,0,0.6667,0.29139
293,-0.139191,0.681580,76.3157,-0.000757,1,0.2903,0.29136
294,-0.112271,0.683524,46.9177,-0.000550,1,0.4615,0.29133
295,-0.125802,0.660915,73.6298,-0.000573,0,0.5946,0.29130
296,-0.111961,0.648888,75.6640,-0.000587,0,0.4595,0.29127
297,-0.120734,0.669993,53.7862,-0.000324,0,0.3542,0.29124
298,-0.125205,0.666893,49.4293,-0.000499,0,0.6667,0.29121
299,-0.144488,0.711023,44.7947,-0.000399,0,0.5152,0.29118
300,-0.132797,0.669268,102.0219,-0.000876,0,0.2258,0.29115
301,-0.090045,0.648076,24.8848,-0.000218,0,0.6667,0.29112
302,-0.125681,0.644434,58.8480,-0.000490,0,0.3793,0.29109
303,-0.142978,0.685915,56.8355,-0.000448,1,0.5429,0.29106
304,-0.129566,0.671670,48.9720,-0.000496,1,0.5926,0.29103
305,-0.123140,0.643345,35.8382,-0.000317,1,0.5625,0.29100
306,-0.121499,0.650754,88.1601,-0.000625,0,0.3571,0.29097
307,-0.135210,0.674743,100.5435,-0.000576,0,0.3800,0.29094
308,-0.128349,0.690917,56.2185,-0.000399,1,0.3864,0.29091
309,-0.124558,0.679835,40.4695,-0.000425,0,0.6429,0.29088
310,-0.123254,0.660391,42.6784,-0.000429,0,0.7500,0.29085
311,-0.141281,0.689536,43.7974,-0.000541,0,0.5000,0.29083
312,-0.141647,0.688265,33.6029,-0.000376,0,0.5833,0.29080
313,-0.125134,0.655788,59.2593,-0.000589,1,0.4333,0.29077
314,-0.135538,0.683476,35.3865,-0.000276,0,0.5517,0.29074
315,-0.118867,0.652984,72.5724,-0.000548,0,0.3514,0.29071
316,-0.134970,0.666400,51.9723,-0.000511,0,0.4194,0.29068
317,-0.110739,0.632942,69.9977,-0.000519,0,0.2432,0.29065
318,-0.129234,0.655215,69.8826,-0.000622,0,0.3871,0.29062
319,-0.131038,0.661792,51.8153,-0.000611,0,0.4815,0.29059
320,-0.118338,0.641382,86.9079,-0.000501,0,0.2381,0.29056
321,-0.127234,0.660116,97.6886,-0.000661,0,0.1951,0.29053
322,-0.108320,0.634071,58.8531,-0.000391,0,0.2778,0.29050
