episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
282,-0.169913,0.695813,64.6732,-0.127733,0,0.3871,0.29168
283,-0.152345,0.632052,61.1945,-0.122137,1,0.4375,0.29165
284,-0.159471,0.660846,53.0604,-0.091494,1,0.4615,0.29162
285,-0.160915,0.670360,42.8955,-0.109851,1,0.5200,0.29159
286,-0.160053,0.647507,38.5642,-0.108430,0,0.5000,0.29156
287,-0.160337,0.658034,58.4564,-0.105062,0,0.4722,0.29153
288,-0.159437,0.657283,43.5923,-0.117668,1,0.4348,0.29150
289,-0.168928,0.686817,86.9270,-0.123458,0,0.3111,0.29147
290,-0.163534,0.679603,47.2672,-0.102157,0,0.4483,0.29145
291,-0.154343,0.640614,49.5638,-0.115412,0,0.5714,0.29142
292,-0.157889,0.661412,98.9575,-0.117653,0,0.2642,0.29139
293,-0.165155,0.665170,72.4238,-0.125980,0,0.2778,0.29136
294,-0.169284,0.695245,39.8633,-0.106076,0,0.5000,0.29133
295,-0.165998,0.678644,62.8926,-0.091544,0,0.3261,0.29130
296,-0.158807,0.658567,87.2004,-0.133314,0,0.2683,0.29127
297,-0.172110,0.690184,69.4004,-0.155390,1,0.4643,0.29124
298,-0.155386,0.648673,61.5252,-0.133586,0,0.3793,0.29121
299,-0.156412,0.657317,33.4540,-0.093654,1,0.4783,0.29118
300,-0.165848,0.680248,56.2034,-0.107032,0,0.3939,0.29115
301,-0.152899,0.648466,72.9170,-0.126661,0,0.5000,0.29112
302,-0.163271,0.667063,61.0043,-0.091936,0,0.4222,0.29109
303,-0.142118,0.603395,40.8104,-0.138452,1,0.3333,0.29106
304,-0.170256,0.683887,53.2063,-0.094793,1,0.4324,0.29103
305,-0.162163,0.673450,29.0282,-0.080464,0,0.6250,0.29100
306,-0.159244,0.662894,89.4865,-0.121461,0,0.3878,0.29097
307,-0.155173,0.658980,77.8657,-0.121501,0,0.3902,0.29094
308,-0.165063,0.674219,47.2327,-0.082265,0,0.5641,0.29091
309,-0.155901,0.655358,111.0528,-0.124369,0,0.3860,0.29088
310,-0.159318,0.656156,81.5708,-0.136171,1,0.2973,0.29085
311,-0.157352,0.670564,114.6086,-0.155318,0,0.1778,0.29083
312,-0.166353,0.675801,44.6384,-0.094873,0,0.3333,0.29080
313,-0.163282,0.678960,101.8736,-0.139366,1,0.1739,0.29077
314,-0.167337,0.682823,14.6503,-0.074624,1,0.5000,0.29074
315,-0.158023,0.650381,58.2492,-0.100492,0,0.4595,0.29071
316,-0.156922,0.650807,41.2821,-0.106565,1,0.4167,0.29068
317,-0.165643,0.678918,75.7431,-0.127501,1,0.2895,0.29065
318,-0.165604,0.693543,99.7804,-0.109844,0,0.2903,0.29062
319,-0.153011,0.649334,55.4796,-0.108369,1,0.3939,0.29059
320,-0.164826,0.674363,71.4454,-0.147612,0,0.3667,0.29056
321,-0.165226,0.699050,22.2865,-0.105531,0,0.7857,0.29053
322,-0.162137,0.665295,97.9058,-0.160264,0,0.5000,0.29050
323,-0.158189,0.675209,47.5754,-0.087528,0,0.5556,0.29047
324,-0.153827,0.661763,50.9230,-0.090714,1,0.3889,0.29044
325,-0.160333,0.669344,51.5427,-0.124252,0,0.5385,0.29041
326,-0.162380,0.677757,85.1706,-0.150943,0,0.4571,0.29038
327,-0.161893,0.682232,58.3335,-0.154147,1,0.2174,0.29035
328,-0.162545,0.664951,42.1074,-0.083562,0,0.3529,0.29032
329,-0.158167,0.661771,67.4403,-0.140376,0,0.5667,0.29029
330,-0.165208,0.693757,28.5171,-0.128903,0,0.3571,0.29026
331,-0.157480,0.657914,53.9413,-0.101833,1,0.2941,0.29024
332,-0.160613,0.673590,47.3206,-0.093300,1,0.5455,0.29021
333,-0.161667,0.666303,25.2937,-0.073752,0,0.5217,0.29018
334,-0.162157,0.670488,71.7634,-0.166762,1,0.3077,0.29015
335,-0.161677,0.680668,51.9146,-0.129350,1,0.4000,0.29012
336,-0.172046,0.707090,81.2834,-0.129943,0,0.4750,0.29009
337,-0.159232,0.665692,24.8886,-0.065002,1,0.3846,0.29006
338,-0.162314,0.673485,80.7043,-0.119557,0,0.5435,0.29003
339,-0.159128,0.664939,33.2454,-0.082026,1,0.5556,0.29000
340,-0.158972,0.653857,36.5685,-0.115122,1,0.5000,0.28997
341,-0.169080,0.687693,95.3653,-0.118560,0,0.3585,0.28994
342,-0.178000,0.713995,39.0327,-0.109324,1,0.5000,0.28991
343,-0.171543,0.705494,39.3159,-0.091717,0,0.5357,0.28988
344,-0.161885,0.662128,69.0295,-0.128240,0,0.4242,0.28985
345,-0.162219,0.666682,39.5525,-0.087736,0,0.6552,0.28982
346,-0.161760,0.678957,58.2436,-0.112398,0,0.5758,0.28979
347,-0.158461,0.667985,52.1218,-0.084321,0,0.4250,0.28976
348,-0.162151,0.672225,55.5996,-0.101245,0,0.5556,0.28973
349,-0.168842,0.694552,37.4414,-0.111195,0,0.3810,0.28970
350,-0.162159,0.659954,36.3375,-0.102142,1,0.5217,0.28968
351,-0.162911,0.670263,46.5629,-0.083806,1,0.3333,0.28965
352,-0.155392,0.637396,102.1278,-0.109459,0,0.4531,0.28962
